4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,1,2,2,2,2,2,2,2,2,2,2,2,3,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,7,8,8,8,8,8,8,8,8,8,8,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,7,8,8,8,8,8,8,8,8,8,8,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,7,8,8,8,8,8,8,8,8,8,8,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,7,8,8,8,8,8,8,8,8,8,8,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,7,8,8,8,8,8,8,8,8,8,8,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,13,14,14,14,14,14,5,5,6,8,8,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,17,17,17,17,17,17,3,11,7,8,8,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,9,11,7,8,8,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,9,11,7,8,8,8,10,11,13,5,5,5,5,5,5,5,5,6,0,0,0,0,0,
0,0,0,0,0,0,0,9,11,7,8,8,8,10,11,11,11,11,11,11,11,11,11,11,12,0,0,0,0,0,
0,0,0,0,0,0,0,9,11,7,8,8,8,10,11,11,11,11,11,11,11,11,11,11,12,0,0,0,0,0,
0,0,0,0,0,0,0,9,11,7,8,8,8,16,2,2,2,2,2,2,2,2,2,3,12,0,0,0,0,0,
5,5,5,5,5,5,5,15,11,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,12,0,0,0,0,0,
1,2,2,2,2,2,3,11,11,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,12,0,0,0,0,0,
7,8,8,8,8,8,9,11,11,7,8,8,8,8,4,5,5,5,6,8,8,8,8,9,12,0,0,0,0,0,
7,8,8,8,8,8,9,11,11,7,8,8,8,8,10,1,2,3,12,8,8,8,8,9,12,0,0,0,0,0,
7,8,8,8,8,8,16,2,2,18,8,8,8,8,10,7,0,9,12,8,8,8,8,9,12,0,0,0,0,0,
7,8,8,8,8,8,8,8,8,8,8,8,8,8,10,13,14,15,12,8,8,8,8,9,12,0,0,0,0,0,
7,8,8,8,8,8,8,8,8,8,8,8,8,8,16,17,17,17,18,8,8,8,8,9,12,0,0,0,0,0,
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,12,0,0,0,0,0,
13,14,14,14,14,14,14,5,5,6,8,8,8,8,8,8,8,8,8,8,8,8,8,9,12,0,0,0,0,0,
17,17,17,17,17,17,17,3,11,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,12,0,0,0,0,0,
0,0,0,0,0,0,0,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
